Data,Any,Mes,Estació,Subregió,Període,NAO,Fase NAO,Anomalia precipitació mensual (mm),Precipitació mensual (mm),Es hivern
1981-12,1981,12,Hivern,Catalunya-Balears,1981-1990,-2.2,Negativa,-2.000200224295256,49.8114824295044,True
1982-01,1982,1,Hivern,Catalunya-Balears,1981-1990,-0.72,Negativa,7.160293845832349,58.351951003074646,True
1983-02,1983,2,Hivern,Catalunya-Balears,1981-1990,-1.25,Negativa,27.314899391680957,69.22985553741455,True
1985-01,1985,1,Hivern,Catalunya-Balears,1981-1990,-2.87,Negativa,4.056667833030225,55.24832499027252,True
1986-02,1986,2,Hivern,Catalunya-Balears,1981-1990,-4.02,Negativa,14.940751022845504,56.8557071685791,True
1987-01,1987,1,Hivern,Catalunya-Balears,1981-1990,-2.12,Negativa,44.96007671803236,96.15173387527466,True
1987-12,1987,12,Hivern,Catalunya-Balears,1981-1990,-0.81,Negativa,13.356111812219028,65.16779446601868,True
1989-12,1989,12,Hivern,Catalunya-Balears,1981-1990,-2.23,Negativa,3.820588755235079,55.63227140903473,True
1995-12,1995,12,Hivern,Catalunya-Balears,1991-2000,-3.33,Negativa,62.883041667565706,114.69472432136536,True
1996-01,1996,1,Hivern,Catalunya-Balears,1991-2000,-3.27,Negativa,43.78296771496535,94.97462487220764,True
1996-12,1996,12,Hivern,Catalunya-Balears,1991-2000,-4.7,Negativa,63.38854007683695,115.2002227306366,True
1997-01,1997,1,Hivern,Catalunya-Balears,1991-2000,-1.95,Negativa,38.2897209212184,89.4813780784607,True
2000-12,2000,12,Hivern,Catalunya-Balears,1991-2000,-1.41,Negativa,-2.1890618328005047,49.622620820999146,True
2001-12,2001,12,Hivern,Catalunya-Balears,2001-2010,-2.25,Negativa,-12.72645385302603,39.08522880077362,True
2002-12,2002,12,Hivern,Catalunya-Balears,2001-2010,-0.98,Negativa,-4.71424419917166,47.09743845462799,True
2003-12,2003,12,Hivern,Catalunya-Balears,2001-2010,-0.85,Negativa,34.321391152963045,86.1330738067627,True
2004-02,2004,2,Hivern,Catalunya-Balears,2001-2010,-1.23,Negativa,10.838287658244369,52.753243803977966,True
2005-02,2005,2,Hivern,Catalunya-Balears,2001-2010,-2.25,Negativa,16.209485001116988,58.124441146850586,True
