Teleconnexió,Variable,Unitat,Àmbit,Subregió,Estació,Correlació,Força absoluta,Signe,P valor,Q FDR,Significatiu FDR,N,Etiqueta
NAO,Precipitació,mm,Global,Totes,Totes,-0.312,0.312,Negativa,0.0,0.0,Sí,1920,NAO · Precipitació · Global
NAO,Humitat del sòl,m3/m3,Global,Totes,Totes,-0.223,0.223,Negativa,0.0,0.0,Sí,1920,NAO · Humitat del sòl · Global
NAO,Temperatura,°C,Global,Totes,Totes,0.195,0.195,Positiva,0.0,0.0,Sí,1920,NAO · Temperatura · Global
NAO,SST,°C,Global,Totes,Totes,0.114,0.114,Positiva,0.0,0.0,Sí,1920,NAO · SST · Global
NAO,Precipitació,mm,Estació,Totes,Hivern,-0.456,0.456,Negativa,0.0,0.0,Sí,480,NAO · Precipitació · Estació
NAO,Precipitació,mm,Estació,Totes,Primavera,-0.316,0.316,Negativa,0.0,0.0,Sí,480,NAO · Precipitació · Estació
NAO,Precipitació,mm,Estació,Totes,Estiu,-0.088,0.088,Negativa,0.0541,0.1663,No,480,NAO · Precipitació · Estació
NAO,Precipitació,mm,Estació,Totes,Tardor,-0.339,0.339,Negativa,0.0,0.0,Sí,480,NAO · Precipitació · Estació
NAO,Humitat del sòl,m3/m3,Estació,Totes,Hivern,-0.387,0.387,Negativa,0.0,0.0,Sí,480,NAO · Humitat del sòl · Estació
NAO,Humitat del sòl,m3/m3,Estació,Totes,Primavera,-0.281,0.281,Negativa,0.0,0.0,Sí,480,NAO · Humitat del sòl · Estació
NAO,Humitat del sòl,m3/m3,Estació,Totes,Estiu,-0.028,0.028,Negativa,0.5341,0.7312,No,480,NAO · Humitat del sòl · Estació
NAO,Humitat del sòl,m3/m3,Estació,Totes,Tardor,-0.211,0.211,Negativa,0.0,0.0,Sí,480,NAO · Humitat del sòl · Estació
NAO,Temperatura,°C,Estació,Totes,Hivern,0.318,0.318,Positiva,0.0,0.0,Sí,480,NAO · Temperatura · Estació
NAO,Temperatura,°C,Estació,Totes,Primavera,0.227,0.227,Positiva,0.0,0.0,Sí,480,NAO · Temperatura · Estació
NAO,Temperatura,°C,Estació,Totes,Estiu,-0.034,0.034,Negativa,0.4553,0.6748,No,480,NAO · Temperatura · Estació
NAO,Temperatura,°C,Estació,Totes,Tardor,0.252,0.252,Positiva,0.0,0.0,Sí,480,NAO · Temperatura · Estació
NAO,SST,°C,Estació,Totes,Hivern,0.316,0.316,Positiva,0.0,0.0,Sí,480,NAO · SST · Estació
NAO,SST,°C,Estació,Totes,Primavera,0.202,0.202,Positiva,0.0,0.0001,Sí,480,NAO · SST · Estació
NAO,SST,°C,Estació,Totes,Estiu,-0.052,0.052,Negativa,0.2528,0.4813,No,480,NAO · SST · Estació
NAO,SST,°C,Estació,Totes,Tardor,0.141,0.141,Positiva,0.002,0.0123,Sí,480,NAO · SST · Estació
NAO,Precipitació,mm,Subregió,Catalunya-Balears,Totes,-0.34,0.34,Negativa,0.0,0.0,Sí,480,NAO · Precipitació · Subregió
NAO,Precipitació,mm,Subregió,Golf del Lleó,Totes,-0.327,0.327,Negativa,0.0,0.0,Sí,480,NAO · Precipitació · Subregió
NAO,Precipitació,mm,Subregió,Llevant Ibèric,Totes,-0.254,0.254,Negativa,0.0,0.0,Sí,480,NAO · Precipitació · Subregió
NAO,Precipitació,mm,Subregió,Mediterrani central occidental,Totes,-0.349,0.349,Negativa,0.0,0.0,Sí,480,NAO · Precipitació · Subregió
NAO,Humitat del sòl,m3/m3,Subregió,Catalunya-Balears,Totes,-0.231,0.231,Negativa,0.0,0.0,Sí,480,NAO · Humitat del sòl · Subregió
NAO,Humitat del sòl,m3/m3,Subregió,Golf del Lleó,Totes,-0.208,0.208,Negativa,0.0,0.0001,Sí,480,NAO · Humitat del sòl · Subregió
NAO,Humitat del sòl,m3/m3,Subregió,Llevant Ibèric,Totes,-0.224,0.224,Negativa,0.0,0.0,Sí,480,NAO · Humitat del sòl · Subregió
NAO,Humitat del sòl,m3/m3,Subregió,Mediterrani central occidental,Totes,-0.239,0.239,Negativa,0.0,0.0,Sí,480,NAO · Humitat del sòl · Subregió
NAO,Temperatura,°C,Subregió,Catalunya-Balears,Totes,0.203,0.203,Positiva,0.0,0.0001,Sí,480,NAO · Temperatura · Subregió
NAO,Temperatura,°C,Subregió,Golf del Lleó,Totes,0.298,0.298,Positiva,0.0,0.0,Sí,480,NAO · Temperatura · Subregió
NAO,Temperatura,°C,Subregió,Llevant Ibèric,Totes,0.123,0.123,Positiva,0.0071,0.0351,Sí,480,NAO · Temperatura · Subregió
NAO,Temperatura,°C,Subregió,Mediterrani central occidental,Totes,0.122,0.122,Positiva,0.0075,0.037,Sí,480,NAO · Temperatura · Subregió
NAO,SST,°C,Subregió,Catalunya-Balears,Totes,0.124,0.124,Positiva,0.0064,0.0325,Sí,480,NAO · SST · Subregió
NAO,SST,°C,Subregió,Golf del Lleó,Totes,0.136,0.136,Positiva,0.0029,0.0171,Sí,480,NAO · SST · Subregió
NAO,SST,°C,Subregió,Llevant Ibèric,Totes,0.11,0.11,Positiva,0.0159,0.0672,No,480,NAO · SST · Subregió
NAO,SST,°C,Subregió,Mediterrani central occidental,Totes,0.087,0.087,Positiva,0.0575,0.1739,No,480,NAO · SST · Subregió
NAO,Precipitació,mm,Subregió i estació,Catalunya-Balears,Hivern,-0.523,0.523,Negativa,0.0,0.0,Sí,120,NAO · Precipitació · Subregió i estació
NAO,Precipitació,mm,Subregió i estació,Golf del Lleó,Hivern,-0.415,0.415,Negativa,0.0,0.0,Sí,120,NAO · Precipitació · Subregió i estació
NAO,Precipitació,mm,Subregió i estació,Llevant Ibèric,Hivern,-0.426,0.426,Negativa,0.0,0.0,Sí,120,NAO · Precipitació · Subregió i estació
NAO,Precipitació,mm,Subregió i estació,Mediterrani central occidental,Hivern,-0.511,0.511,Negativa,0.0,0.0,Sí,120,NAO · Precipitació · Subregió i estació
NAO,Precipitació,mm,Subregió i estació,Catalunya-Balears,Primavera,-0.342,0.342,Negativa,0.0001,0.0012,Sí,120,NAO · Precipitació · Subregió i estació
NAO,Precipitació,mm,Subregió i estació,Golf del Lleó,Primavera,-0.402,0.402,Negativa,0.0,0.0001,Sí,120,NAO · Precipitació · Subregió i estació
NAO,Precipitació,mm,Subregió i estació,Llevant Ibèric,Primavera,-0.203,0.203,Negativa,0.0265,0.0989,No,120,NAO · Precipitació · Subregió i estació
NAO,Precipitació,mm,Subregió i estació,Mediterrani central occidental,Primavera,-0.298,0.298,Negativa,0.001,0.0067,Sí,120,NAO · Precipitació · Subregió i estació
NAO,Precipitació,mm,Subregió i estació,Catalunya-Balears,Estiu,-0.057,0.057,Negativa,0.5378,0.7331,No,120,NAO · Precipitació · Subregió i estació
NAO,Precipitació,mm,Subregió i estació,Golf del Lleó,Estiu,-0.104,0.104,Negativa,0.2576,0.4864,No,120,NAO · Precipitació · Subregió i estació
NAO,Precipitació,mm,Subregió i estació,Llevant Ibèric,Estiu,-0.162,0.162,Negativa,0.0779,0.2166,No,120,NAO · Precipitació · Subregió i estació
