Teleconnexió,Fase,Variable,Subregió,Estació,Període,Anomalia mitjana,Unitat,N mesos
NAO,Negativa,Precipitació,Llevant Ibèric,Hivern,Tots,9.7824,mm,28
NAO,Negativa,Precipitació,Llevant Ibèric,Hivern,1981-1990,10.547,mm,8
NAO,Negativa,Precipitació,Llevant Ibèric,Hivern,1991-2000,19.9703,mm,5
NAO,Negativa,Precipitació,Llevant Ibèric,Hivern,2001-2010,8.3557,mm,13
NAO,Negativa,Precipitació,Llevant Ibèric,Hivern,2011-2020,-9.4719,mm,2
NAO,Negativa,Precipitació,Llevant Ibèric,Primavera,Tots,5.1038,mm,40
NAO,Negativa,Precipitació,Llevant Ibèric,Primavera,1981-1990,10.2263,mm,12
NAO,Negativa,Precipitació,Llevant Ibèric,Primavera,1991-2000,2.8636,mm,11
NAO,Negativa,Precipitació,Llevant Ibèric,Primavera,2001-2010,2.8344,mm,10
NAO,Negativa,Precipitació,Llevant Ibèric,Primavera,2011-2020,3.0845,mm,7
NAO,Negativa,Precipitació,Llevant Ibèric,Estiu,Tots,1.3623,mm,57
NAO,Negativa,Precipitació,Llevant Ibèric,Estiu,1981-1990,5.4982,mm,12
NAO,Negativa,Precipitació,Llevant Ibèric,Estiu,1991-2000,4.2671,mm,11
NAO,Negativa,Precipitació,Llevant Ibèric,Estiu,2001-2010,-0.1446,mm,18
NAO,Negativa,Precipitació,Llevant Ibèric,Estiu,2011-2020,-2.0413,mm,16
NAO,Negativa,Precipitació,Llevant Ibèric,Tardor,Tots,5.4449,mm,66
NAO,Negativa,Precipitació,Llevant Ibèric,Tardor,1981-1990,12.7353,mm,16
NAO,Negativa,Precipitació,Llevant Ibèric,Tardor,1991-2000,2.2311,mm,17
NAO,Negativa,Precipitació,Llevant Ibèric,Tardor,2001-2010,-3.0448,mm,18
NAO,Negativa,Precipitació,Llevant Ibèric,Tardor,2011-2020,11.4984,mm,15
NAO,Negativa,Precipitació,Catalunya-Balears,Hivern,Tots,16.8245,mm,28
NAO,Negativa,Precipitació,Catalunya-Balears,Hivern,1981-1990,14.2011,mm,8
NAO,Negativa,Precipitació,Catalunya-Balears,Hivern,1991-2000,41.231,mm,5
NAO,Negativa,Precipitació,Catalunya-Balears,Hivern,2001-2010,12.5845,mm,13
NAO,Negativa,Precipitació,Catalunya-Balears,Hivern,2011-2020,-6.1392,mm,2
NAO,Negativa,Precipitació,Catalunya-Balears,Primavera,Tots,6.4446,mm,40
NAO,Negativa,Precipitació,Catalunya-Balears,Primavera,1981-1990,13.7952,mm,12
NAO,Negativa,Precipitació,Catalunya-Balears,Primavera,1991-2000,-7.2496,mm,11
NAO,Negativa,Precipitació,Catalunya-Balears,Primavera,2001-2010,5.545,mm,10
NAO,Negativa,Precipitació,Catalunya-Balears,Primavera,2011-2020,16.6478,mm,7
NAO,Negativa,Precipitació,Catalunya-Balears,Estiu,Tots,1.476,mm,57
NAO,Negativa,Precipitació,Catalunya-Balears,Estiu,1981-1990,-0.4607,mm,12
NAO,Negativa,Precipitació,Catalunya-Balears,Estiu,1991-2000,2.5256,mm,11
NAO,Negativa,Precipitació,Catalunya-Balears,Estiu,2001-2010,1.78,mm,18
NAO,Negativa,Precipitació,Catalunya-Balears,Estiu,2011-2020,1.8649,mm,16
NAO,Negativa,Precipitació,Catalunya-Balears,Tardor,Tots,7.2423,mm,66
NAO,Negativa,Precipitació,Catalunya-Balears,Tardor,1981-1990,5.2846,mm,16
NAO,Negativa,Precipitació,Catalunya-Balears,Tardor,1991-2000,5.2624,mm,17
NAO,Negativa,Precipitació,Catalunya-Balears,Tardor,2001-2010,4.6468,mm,18
NAO,Negativa,Precipitació,Catalunya-Balears,Tardor,2011-2020,14.689,mm,15
NAO,Negativa,Precipitació,Golf del Lleó,Hivern,Tots,19.3565,mm,28
NAO,Negativa,Precipitació,Golf del Lleó,Hivern,1981-1990,16.7238,mm,8
NAO,Negativa,Precipitació,Golf del Lleó,Hivern,1991-2000,62.8026,mm,5
NAO,Negativa,Precipitació,Golf del Lleó,Hivern,2001-2010,6.3345,mm,13
NAO,Negativa,Precipitació,Golf del Lleó,Hivern,2011-2020,5.9158,mm,2
NAO,Negativa,Precipitació,Golf del Lleó,Primavera,Tots,14.8955,mm,40
NAO,Negativa,Precipitació,Golf del Lleó,Primavera,1981-1990,23.3039,mm,12
NAO,Negativa,Precipitació,Golf del Lleó,Primavera,1991-2000,0.8684,mm,11
NAO,Negativa,Precipitació,Golf del Lleó,Primavera,2001-2010,8.6793,mm,10
NAO,Negativa,Precipitació,Golf del Lleó,Primavera,2011-2020,31.4039,mm,7
NAO,Negativa,Precipitació,Golf del Lleó,Estiu,Tots,2.9335,mm,57
NAO,Negativa,Precipitació,Golf del Lleó,Estiu,1981-1990,4.7604,mm,12
NAO,Negativa,Precipitació,Golf del Lleó,Estiu,1991-2000,8.4035,mm,11
NAO,Negativa,Precipitació,Golf del Lleó,Estiu,2001-2010,1.6071,mm,18
NAO,Negativa,Precipitació,Golf del Lleó,Estiu,2011-2020,-0.705,mm,16
NAO,Negativa,Precipitació,Golf del Lleó,Tardor,Tots,13.0059,mm,66
NAO,Negativa,Precipitació,Golf del Lleó,Tardor,1981-1990,-5.4916,mm,16
NAO,Negativa,Precipitació,Golf del Lleó,Tardor,1991-2000,32.3572,mm,17
NAO,Negativa,Precipitació,Golf del Lleó,Tardor,2001-2010,0.267,mm,18
NAO,Negativa,Precipitació,Golf del Lleó,Tardor,2011-2020,26.0918,mm,15
NAO,Negativa,Precipitació,Mediterrani central occidental,Hivern,Tots,17.0101,mm,28
NAO,Negativa,Precipitació,Mediterrani central occidental,Hivern,1981-1990,15.2504,mm,8
NAO,Negativa,Precipitació,Mediterrani central occidental,Hivern,1991-2000,20.8156,mm,5
NAO,Negativa,Precipitació,Mediterrani central occidental,Hivern,2001-2010,13.425,mm,13
NAO,Negativa,Precipitació,Mediterrani central occidental,Hivern,2011-2020,37.8382,mm,2
NAO,Negativa,Precipitació,Mediterrani central occidental,Primavera,Tots,5.6035,mm,40
NAO,Negativa,Precipitació,Mediterrani central occidental,Primavera,1981-1990,7.6892,mm,12
NAO,Negativa,Precipitació,Mediterrani central occidental,Primavera,1991-2000,-0.9608,mm,11
NAO,Negativa,Precipitació,Mediterrani central occidental,Primavera,2001-2010,0.1225,mm,10
NAO,Negativa,Precipitació,Mediterrani central occidental,Primavera,2011-2020,20.1733,mm,7
NAO,Negativa,Precipitació,Mediterrani central occidental,Estiu,Tots,0.1838,mm,57
NAO,Negativa,Precipitació,Mediterrani central occidental,Estiu,1981-1990,-2.9871,mm,12
NAO,Negativa,Precipitació,Mediterrani central occidental,Estiu,1991-2000,2.2055,mm,11
NAO,Negativa,Precipitació,Mediterrani central occidental,Estiu,2001-2010,1.1206,mm,18
NAO,Negativa,Precipitació,Mediterrani central occidental,Estiu,2011-2020,0.118,mm,16
NAO,Negativa,Precipitació,Mediterrani central occidental,Tardor,Tots,8.677,mm,66
NAO,Negativa,Precipitació,Mediterrani central occidental,Tardor,1981-1990,-4.5879,mm,16
NAO,Negativa,Precipitació,Mediterrani central occidental,Tardor,1991-2000,9.4304,mm,17
NAO,Negativa,Precipitació,Mediterrani central occidental,Tardor,2001-2010,11.9233,mm,18
NAO,Negativa,Precipitació,Mediterrani central occidental,Tardor,2011-2020,18.0768,mm,15
NAO,Negativa,Temperatura,Llevant Ibèric,Hivern,Tots,-0.1465,°C,28
NAO,Negativa,Temperatura,Llevant Ibèric,Hivern,1981-1990,-0.119,°C,8
NAO,Negativa,Temperatura,Llevant Ibèric,Hivern,1991-2000,0.9377,°C,5
NAO,Negativa,Temperatura,Llevant Ibèric,Hivern,2001-2010,-0.5977,°C,13
NAO,Negativa,Temperatura,Llevant Ibèric,Hivern,2011-2020,-0.0341,°C,2
NAO,Negativa,Temperatura,Llevant Ibèric,Primavera,Tots,-0.3144,°C,40
NAO,Negativa,Temperatura,Llevant Ibèric,Primavera,1981-1990,-1.1452,°C,12
NAO,Negativa,Temperatura,Llevant Ibèric,Primavera,1991-2000,-0.0891,°C,11
NAO,Negativa,Temperatura,Llevant Ibèric,Primavera,2001-2010,-0.0048,°C,10
NAO,Negativa,Temperatura,Llevant Ibèric,Primavera,2011-2020,0.3137,°C,7
NAO,Negativa,Temperatura,Llevant Ibèric,Estiu,Tots,0.1405,°C,57
NAO,Negativa,Temperatura,Llevant Ibèric,Estiu,1981-1990,-0.4989,°C,12
NAO,Negativa,Temperatura,Llevant Ibèric,Estiu,1991-2000,-0.247,°C,11
NAO,Negativa,Temperatura,Llevant Ibèric,Estiu,2001-2010,0.2292,°C,18
NAO,Negativa,Temperatura,Llevant Ibèric,Estiu,2011-2020,0.7866,°C,16
NAO,Negativa,Temperatura,Llevant Ibèric,Tardor,Tots,-0.0928,°C,66
NAO,Negativa,Temperatura,Llevant Ibèric,Tardor,1981-1990,0.0912,°C,16
NAO,Negativa,Temperatura,Llevant Ibèric,Tardor,1991-2000,-0.4405,°C,17
NAO,Negativa,Temperatura,Llevant Ibèric,Tardor,2001-2010,-0.3576,°C,18
NAO,Negativa,Temperatura,Llevant Ibèric,Tardor,2011-2020,0.4228,°C,15
NAO,Negativa,Temperatura,Catalunya-Balears,Hivern,Tots,-0.3787,°C,28
NAO,Negativa,Temperatura,Catalunya-Balears,Hivern,1981-1990,-0.4399,°C,8
NAO,Negativa,Temperatura,Catalunya-Balears,Hivern,1991-2000,0.9007,°C,5
NAO,Negativa,Temperatura,Catalunya-Balears,Hivern,2001-2010,-0.8648,°C,13
NAO,Negativa,Temperatura,Catalunya-Balears,Hivern,2011-2020,-0.1727,°C,2
NAO,Negativa,Temperatura,Catalunya-Balears,Primavera,Tots,-0.2257,°C,40
NAO,Negativa,Temperatura,Catalunya-Balears,Primavera,1981-1990,-0.939,°C,12
NAO,Negativa,Temperatura,Catalunya-Balears,Primavera,1991-2000,0.1153,°C,11
NAO,Negativa,Temperatura,Catalunya-Balears,Primavera,2001-2010,-0.0844,°C,10
NAO,Negativa,Temperatura,Catalunya-Balears,Primavera,2011-2020,0.2595,°C,7
NAO,Negativa,Temperatura,Catalunya-Balears,Estiu,Tots,0.0829,°C,57
NAO,Negativa,Temperatura,Catalunya-Balears,Estiu,1981-1990,-0.3512,°C,12
NAO,Negativa,Temperatura,Catalunya-Balears,Estiu,1991-2000,-0.2757,°C,11
NAO,Negativa,Temperatura,Catalunya-Balears,Estiu,2001-2010,0.1447,°C,18
NAO,Negativa,Temperatura,Catalunya-Balears,Estiu,2011-2020,0.5857,°C,16
NAO,Negativa,Temperatura,Catalunya-Balears,Tardor,Tots,-0.1173,°C,66
NAO,Negativa,Temperatura,Catalunya-Balears,Tardor,1981-1990,-0.0095,°C,16
NAO,Negativa,Temperatura,Catalunya-Balears,Tardor,1991-2000,-0.368,°C,17
NAO,Negativa,Temperatura,Catalunya-Balears,Tardor,2001-2010,-0.4073,°C,18
NAO,Negativa,Temperatura,Catalunya-Balears,Tardor,2011-2020,0.3999,°C,15
NAO,Negativa,Temperatura,Golf del Lleó,Hivern,Tots,-0.7793,°C,28
NAO,Negativa,Temperatura,Golf del Lleó,Hivern,1981-1990,-1.3232,°C,8
NAO,Negativa,Temperatura,Golf del Lleó,Hivern,1991-2000,0.991,°C,5
NAO,Negativa,Temperatura,Golf del Lleó,Hivern,2001-2010,-1.2521,°C,13
NAO,Negativa,Temperatura,Golf del Lleó,Hivern,2011-2020,0.0431,°C,2
NAO,Negativa,Temperatura,Golf del Lleó,Primavera,Tots,-0.3825,°C,40
NAO,Negativa,Temperatura,Golf del Lleó,Primavera,1981-1990,-1.2968,°C,12
NAO,Negativa,Temperatura,Golf del Lleó,Primavera,1991-2000,0.0883,°C,11
NAO,Negativa,Temperatura,Golf del Lleó,Primavera,2001-2010,-0.1328,°C,10
NAO,Negativa,Temperatura,Golf del Lleó,Primavera,2011-2020,0.0885,°C,7
NAO,Negativa,Temperatura,Golf del Lleó,Estiu,Tots,0.0174,°C,57
