estacio,teleconnexio,variable,correlacio
Winter,nao,anomalia_temperatura,0.3179161432991472
Winter,nao,anomalia_precipitacio_mensual_mm,-0.45586082920649706
Winter,nao,anomalia_humitat_sol_capa1,-0.3871575517637315
Winter,nao,anomalia_sst,0.315764145046021
Winter,wemo,anomalia_temperatura,0.03383458316352071
Winter,wemo,anomalia_precipitacio_mensual_mm,-0.11200601444981696
Winter,wemo,anomalia_humitat_sol_capa1,-0.218936456611874
Winter,wemo,anomalia_sst,0.036837577985081665
Winter,roni,anomalia_temperatura,0.07552917830557757
Winter,roni,anomalia_precipitacio_mensual_mm,-0.017480849364385383
Winter,roni,anomalia_humitat_sol_capa1,0.021972912517911124
Winter,roni,anomalia_sst,0.15121999854295234
Spring,nao,anomalia_temperatura,0.22739475045910856
Spring,nao,anomalia_precipitacio_mensual_mm,-0.31628638661805153
Spring,nao,anomalia_humitat_sol_capa1,-0.2808935389459886
Spring,nao,anomalia_sst,0.20235946153401313
Spring,wemo,anomalia_temperatura,-0.3750034979413451
Spring,wemo,anomalia_precipitacio_mensual_mm,0.04770950166114531
Spring,wemo,anomalia_humitat_sol_capa1,-0.035293234451294724
Spring,wemo,anomalia_sst,-0.35550438849850063
Spring,roni,anomalia_temperatura,-0.14491988055539262
Spring,roni,anomalia_precipitacio_mensual_mm,-0.2050837321414138
Spring,roni,anomalia_humitat_sol_capa1,-0.1712653815661904
Spring,roni,anomalia_sst,-0.14830569223311355
Summer,nao,anomalia_temperatura,-0.0341573888722985
Summer,nao,anomalia_precipitacio_mensual_mm,-0.08796252660786433
Summer,nao,anomalia_humitat_sol_capa1,-0.028449102191451227
Summer,nao,anomalia_sst,-0.05229201624417395
Summer,wemo,anomalia_temperatura,-0.22138736749173607
Summer,wemo,anomalia_precipitacio_mensual_mm,0.1465393640352657
Summer,wemo,anomalia_humitat_sol_capa1,0.12053894118413329
Summer,wemo,anomalia_sst,-0.1783474097599868
Summer,roni,anomalia_temperatura,0.0093800785867367
Summer,roni,anomalia_precipitacio_mensual_mm,0.13624141049037686
Summer,roni,anomalia_humitat_sol_capa1,-0.0008105245857175671
Summer,roni,anomalia_sst,-0.02846280773343412
Autumn,nao,anomalia_temperatura,0.25233269965490196
Autumn,nao,anomalia_precipitacio_mensual_mm,-0.33903478792350916
Autumn,nao,anomalia_humitat_sol_capa1,-0.21105284465369095
Autumn,nao,anomalia_sst,0.141034432912792
Autumn,wemo,anomalia_temperatura,-0.40325282497883796
Autumn,wemo,anomalia_precipitacio_mensual_mm,-0.08836787474159494
Autumn,wemo,anomalia_humitat_sol_capa1,-0.017772960568764692
Autumn,wemo,anomalia_sst,-0.4683361453033306
Autumn,roni,anomalia_temperatura,0.1692708549609285
Autumn,roni,anomalia_precipitacio_mensual_mm,0.11000625570131752
Autumn,roni,anomalia_humitat_sol_capa1,0.17598794461817546
Autumn,roni,anomalia_sst,0.12532486706173976
