ambit,teleconnexio,fase_a,fase_b,variable_booleana,n_a,n_b,events_a,events_b,rate_a_pct,rate_b_pct,diff_b_minus_a_pct,chi2_p,abs_diff_pct,subregio,estacio,periode,chi2_q_fdr
subregio_estacio,wemo,Negative,Positive,sol_molt_humit,46,34,24,2,52.17391304347826,5.88235294117647,-46.29156010230179,3.6503364212961954e-05,46.29156010230179,Llevant_Iberic,Autumn,,0.0012139975983967918
subregio_estacio,nao,Negative,Positive,mes_molt_sec,66,32,11,20,16.666666666666664,62.5,45.833333333333336,1.4008033945076822e-05,45.833333333333336,Golf_Lleo,Autumn,,0.0006079354954195884
subregio_periode,nao,Negative,Positive,sol_molt_sec,44,53,7,29,15.909090909090908,54.71698113207547,38.80789022298457,0.00019328889613794451,38.80789022298457,Llevant_Iberic,,1991-2000,0.004090695910992135
subregio_periode,wemo,Negative,Positive,mes_molt_sec,46,29,17,0,36.95652173913043,0.0,-36.95652173913043,0.0005826648598860355,36.95652173913043,Golf_Lleo,,2001-2010,0.01012271487921411
subregio_estacio,nao,Negative,Positive,sol_molt_humit,40,52,19,6,47.5,11.538461538461538,-35.96153846153845,0.0003093039205202964,35.96153846153845,Golf_Lleo,Spring,,0.005806931669122985
subregio_estacio,wemo,Negative,Positive,sol_molt_humit,33,43,17,7,51.515151515151516,16.27906976744186,-35.236081747709655,0.0024734806117178037,35.236081747709655,Llevant_Iberic,Winter,,0.029082135677166904
subregio_estacio,wemo,Negative,Positive,mes_molt_fred,48,34,5,15,10.416666666666668,44.11764705882353,33.70098039215686,0.001195022487182638,33.70098039215686,Golf_Lleo,Spring,,0.017172915741735687
subregio_periode,nao,Negative,Positive,mes_molt_humit,44,53,18,4,40.909090909090914,7.547169811320755,-33.36192109777016,0.0002495414198747072,33.36192109777016,Golf_Lleo,,1991-2000,0.004923156148036597
subregio_estacio,wemo,Negative,Positive,mes_molt_fred,46,34,5,15,10.869565217391305,44.11764705882353,33.248081841432224,0.0017253314966973856,33.248081841432224,Golf_Lleo,Autumn,,0.02231428735728619
subregio_estacio,wemo,Negative,Positive,sol_molt_humit,46,34,8,17,17.391304347826086,50.0,32.608695652173914,0.004148548707326208,32.608695652173914,Golf_Lleo,Autumn,,0.041990527785458316
subregio_estacio,wemo,Negative,Positive,sol_molt_sec,33,43,7,23,21.21212121212121,53.48837209302325,32.27625088090203,0.008882914277084956,32.27625088090203,Llevant_Iberic,Winter,,0.07274353641332663
subregio_estacio,wemo,Negative,Positive,sol_molt_sec,46,34,11,19,23.91304347826087,55.88235294117647,31.9693094629156,0.0072269177592226355,31.9693094629156,Llevant_Iberic,Autumn,,0.06563831845355979
subregio_periode,wemo,Negative,Positive,sol_molt_humit,30,47,14,7,46.666666666666664,14.893617021276595,-31.773049645390074,0.00526224963544532,31.773049645390074,Llevant_Iberic,,1991-2000,0.049798850208604487
subregio_estacio,wemo,Negative,Positive,mes_molt_fred,46,34,2,12,4.3478260869565215,35.294117647058826,30.946291560102303,0.0009548780219685761,30.946291560102303,Catalunya_Balears,Autumn,,0.014491549736350078
subregio_estacio,wemo,Negative,Positive,mes_molt_humit,48,34,5,14,10.416666666666668,41.17647058823529,30.759803921568622,0.0028194860812669805,30.759803921568622,Golf_Lleo,Spring,,0.03215086405492927
subregio_periode,wemo,Negative,Positive,mes_molt_fred,35,38,4,16,11.428571428571429,42.10526315789473,30.67669172932331,0.007511759858696921,30.67669172932331,Golf_Lleo,,1981-1990,0.06574201861295652
subregio_periode,nao,Negative,Positive,sol_molt_humit,48,54,27,14,56.25,25.925925925925924,-30.324074074074076,0.003551188415454796,30.324074074074076,Llevant_Iberic,,1981-1990,0.03780796448023852
subregio_estacio,wemo,Negative,Positive,mes_molt_sec,33,43,13,4,39.39393939393939,9.30232558139535,-30.091613812544043,0.0044748126815751105,30.091613812544043,Golf_Lleo,Winter,,0.04490243070132266
subregio_estacio,nao,Negative,Positive,sol_molt_sec,40,52,8,26,20.0,50.0,30.0,0.006192888294630636,30.0,Catalunya_Balears,Spring,,0.058133241733468226
subregio_estacio,nao,Negative,Positive,mes_molt_sec,66,32,3,11,4.545454545454546,34.375,29.829545454545453,0.00026270668366924776,29.829545454545453,Mediterrani_Central_Occidental,Autumn,,0.0050965096631834066
subregio_estacio,nao,Negative,Positive,sol_molt_humit,28,69,14,14,50.0,20.28985507246377,-29.71014492753623,0.007387130341422965,29.71014492753623,Llevant_Iberic,Winter,,0.06563831845355979
subregio_estacio,wemo,Negative,Positive,sol_molt_sec,46,34,23,7,50.0,20.588235294117645,-29.411764705882355,0.014182003511583347,29.411764705882355,Mediterrani_Central_Occidental,Autumn,,0.10084516468239141
estacio,nao,Negative,Positive,mes_molt_sec,264,128,24,49,9.090909090909092,38.28125,29.190340909090907,8.876362039366363e-12,29.190340909090907,,Autumn,,3.4440284712741486e-09
subregio_estacio,nao,Negative,Positive,sol_molt_humit,40,52,20,11,50.0,21.153846153846153,-28.846153846153843,0.007376959758654074,28.846153846153843,Catalunya_Balears,Spring,,0.06563831845355979
subregio_estacio,nao,Negative,Positive,sol_molt_sec,66,32,14,16,21.21212121212121,50.0,28.787878787878785,0.007675596471443696,28.787878787878785,Llevant_Iberic,Autumn,,0.0666745842743318
subregio_estacio,nao,Negative,Positive,mes_molt_humit,28,69,10,5,35.714285714285715,7.246376811594203,-28.467908902691512,0.0013550406935034468,28.467908902691512,Catalunya_Balears,Winter,,0.018666516656426723
subregio_estacio,nao,Negative,Positive,mes_molt_sec,66,32,6,12,9.090909090909092,37.5,28.409090909090907,0.001761309485985044,28.409090909090907,Catalunya_Balears,Autumn,,0.022529277381171334
subregio_periode,wemo,Negative,Positive,sol_molt_sec,30,47,5,21,16.666666666666664,44.680851063829785,28.01418439716312,0.022147475873181468,28.01418439716312,Llevant_Iberic,,1991-2000,0.1385648792587832
subregio_estacio,wemo,Negative,Positive,mes_molt_humit,33,43,10,1,30.303030303030305,2.3255813953488373,-27.977448907681467,0.0018892426823573104,27.977448907681467,Catalunya_Balears,Winter,,0.023646005185633433
subregio_estacio,nao,Negative,Positive,sol_molt_sec,28,69,6,34,21.428571428571427,49.275362318840585,27.84679089026916,0.021616783420937015,27.84679089026916,Llevant_Iberic,Winter,,0.13601046433497668
subregio_estacio,nao,Negative,Positive,sol_molt_sec,28,69,2,24,7.142857142857142,34.78260869565217,27.639751552795033,0.011342909561342651,27.639751552795033,Mediterrani_Central_Occidental,Winter,,0.08861172301612648
subregio_periode,nao,Negative,Positive,mes_molt_sec,40,57,1,17,2.5,29.82456140350877,27.324561403508767,0.0016758048710630896,27.324561403508767,Golf_Lleo,,2011-2020,0.022166328067243595
subregio_periode,nao,Negative,Positive,sol_molt_humit,44,53,21,11,47.72727272727273,20.754716981132077,-26.972555746140653,0.009433663851675019,26.972555746140653,Golf_Lleo,,1991-2000,0.07572954981620497
subregio_estacio,nao,Negative,Positive,sol_molt_humit,28,69,12,11,42.857142857142854,15.942028985507244,-26.91511387163561,0.010441627828631542,26.91511387163561,Mediterrani_Central_Occidental,Winter,,0.08268064484712323
subregio_estacio,nao,Negative,Positive,mes_molt_fred,28,69,12,11,42.857142857142854,15.942028985507244,-26.91511387163561,0.010441627828631542,26.91511387163561,Golf_Lleo,Winter,,0.08268064484712323
estacio,nao,Negative,Positive,sol_molt_humit,160,208,78,46,48.75,22.115384615384613,-26.634615384615383,1.5424001022344009e-07,26.634615384615383,,Spring,,1.4387140396342016e-05
