ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr
subregio_estacio_periode,wemo,vent_u10,30,0.9389667386669199,1.6742786908700886e-14,0.9246690178038617,2.915345555780284e-13,0.9389667386669199,0.9246690178038617,Mediterrani_Central_Occidental,Winter,2011-2020,7.386523636191567e-13,1.286181862844243e-11
subregio_estacio_periode,wemo,vent_u10,30,0.927686833705985,1.6761799712162213e-13,0.9360329349277412,3.1720284971568855e-14,0.927686833705985,0.9360329349277412,Mediterrani_Central_Occidental,Winter,1991-2000,6.841550902923352e-12,1.5600140149951897e-12
subregio_estacio_periode,wemo,vent_u10,30,0.9141269646066443,1.7070958814168095e-12,0.8579374844500522,1.3712682784835792e-09,0.9141269646066443,0.8579374844500522,Golf_Lleo,Winter,1991-2000,6.322577338580776e-11,3.722900303575328e-08
subregio_estacio_periode,wemo,vent_u10,30,0.9048962242411052,6.725161490106045e-12,0.8554579312726942,1.7193254634031043e-09,0.9048962242411052,0.8554579312726942,Catalunya_Balears,Winter,2011-2020,2.3324259503257964e-10,4.646825576765146e-08
subregio_estacio_periode,wemo,vent_u10,30,0.904275876741221,7.337154011458884e-12,0.8740823136818686,2.8107238793162205e-10,0.904275876741221,0.8740823136818686,Catalunya_Balears,Winter,1981-1990,2.515595661071617e-10,9.018365388180387e-09
subregio_estacio_periode,wemo,vent_u10,30,0.899929802212141,1.3290123256060984e-11,0.8309781257472009,1.3103355875327997e-08,0.899929802212141,0.8309781257472009,Golf_Lleo,Winter,2011-2020,4.430041085353661e-10,3.1198466369828564e-07
subregio_estacio_periode,wemo,vent_u10,30,0.8945344537858768,2.6786945018032802e-11,0.8989988876529477,1.5040507395775414e-11,0.8945344537858768,0.8989988876529477,Golf_Lleo,Winter,1981-1990,8.734873375445478e-10,5.64019027341578e-10
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.8847078829247593,8.757082901330089e-11,0.8420467185761957,5.45752056201555e-09,0.8847078829247593,0.8420467185761957,Llevant_Iberic,Winter,1991-2000,2.6807396636724765e-09,1.3311025761013534e-07
subregio_estacio_periode,wemo,vent_v10,30,0.880541029411474,1.4016914391431703e-10,0.8710646399434531,3.8405252193073115e-10,0.880541029411474,0.8710646399434531,Llevant_Iberic,Summer,2011-2020,4.082596424688845e-09,1.2001641310335347e-08
subregio_estacio,wemo,vent_u10,120,0.8783468061660941,1.2456781820460294e-39,0.8715669290399949,2.487092055797847e-38,0.8783468061660941,0.8715669290399949,Mediterrani_Central_Occidental,Winter,,2.8746419585677602e-37,5.526871235106326e-36
subregio_estacio_periode,wemo,vent_u10,30,0.8776481677135084,1.9234776222130323e-10,0.8670597450471613,5.743519462931496e-10,0.8776481677135084,0.8670597450471613,Llevant_Iberic,Summer,2011-2020,5.575297455689949e-09,1.7317144109341195e-08
subregio_estacio_periode,wemo,vent_u10,30,0.8769829515820616,2.0663422099132315e-10,0.8438264738598443,4.711225004332847e-09,0.8769829515820616,0.8438264738598443,Mediterrani_Central_Occidental,Winter,1981-1990,5.96060252859586e-09,1.1584979518851263e-07
subregio_estacio_periode,nao,precipitacio_mm_dia,30,-0.8743575711410845,2.7307379763162644e-10,-0.8100111234705227,5.8670988665838894e-08,0.8743575711410845,0.8100111234705227,Catalunya_Balears,Winter,1991-2000,7.802108503760756e-09,1.2491541373538584e-06
subregio_estacio,wemo,vent_u10,120,0.8723077632173356,1.808179450275109e-38,0.8731677846824908,1.2457469109637636e-38,0.8723077632173356,0.8731677846824908,Golf_Lleo,Winter,,3.7410609316036745e-36,2.8748005637625312e-36
