ambit,teleconnexio,variable_booleana,n,n_events,event_rate_pct,pointbiserial_r,p_value,abs_r,subregio,estacio,periode,q_fdr
subregio_estacio,roni,mes_molt_humit,120,12,10.0,-0.27681377480437674,0.002208615698332562,0.27681377480437674,Mediterrani_Central_Occidental,Spring,,0.12368247910662347
subregio_estacio,roni,mes_molt_humit,120,11,9.166666666666666,0.25574942943991047,0.004812603245366883,0.25574942943991047,Golf_Lleo,Summer,,0.17150367928943802
subregio_periode,roni,episodi_calid_i_sol_sec,120,14,11.666666666666666,0.24261426056847535,0.0075873509785434725,0.24261426056847535,Catalunya_Balears,,2011-2020,0.22878781412223395
subregio_estacio,roni,sol_molt_sec,120,29,24.166666666666668,-0.23800922433263383,0.008852437907281753,0.23800922433263383,Golf_Lleo,Autumn,,0.24208775334895322
subregio_periode,roni,mes_molt_calid,120,49,40.833333333333336,0.23162029767972211,0.010914340474589855,0.23162029767972211,Golf_Lleo,,2011-2020,0.25525225149847636
subregio_estacio,roni,sol_molt_sec,120,40,33.33333333333333,-0.23038708091663404,0.011357610233092659,0.23038708091663404,Llevant_Iberic,Autumn,,0.25525225149847636
subregio_estacio,roni,mes_molt_humit,120,25,20.833333333333336,-0.2294077974793704,0.01172076665044024,0.2294077974793704,Golf_Lleo,Spring,,0.25525225149847636
subregio_estacio,roni,episodi_calid_i_sec,120,2,1.6666666666666667,0.22351656858896438,0.014127535735408838,0.22351656858896438,Llevant_Iberic,Autumn,,0.27689970041401324
subregio_periode,roni,episodi_calid_i_sec,120,2,1.6666666666666667,0.21991691305955124,0.01580108411266784,0.21991691305955124,Llevant_Iberic,,2011-2020,0.29495357010313306
subregio_periode,roni,episodi_fred_i_humit,120,2,1.6666666666666667,-0.20241462682505323,0.026613804204882664,0.20241462682505323,Mediterrani_Central_Occidental,,2001-2010,0.39509735236613647
subregio_estacio,roni,sol_molt_humit,120,30,25.0,-0.20146959717464652,0.02734436235684671,0.20146959717464652,Golf_Lleo,Spring,,0.39509735236613647
subregio_periode,roni,mes_molt_fred,120,14,11.666666666666666,-0.19268309348578122,0.03499255005629643,0.19268309348578122,Golf_Lleo,,2011-2020,0.4710503124313148
subregio_periode,roni,episodi_calid_i_sec,120,7,5.833333333333333,0.19026791415672212,0.03738638495381945,0.19026791415672212,Catalunya_Balears,,2011-2020,0.47275686780313625
subregio_estacio,roni,sol_molt_humit,120,39,32.5,-0.18424685483142017,0.04395933756446707,0.18424685483142017,Catalunya_Balears,Spring,,0.5122318969531707
estacio,roni,mes_molt_humit,480,66,13.750000000000002,-0.18416866732409395,4.924408853253492e-05,0.18416866732409395,,Spring,,0.013045576928769703
subregio_estacio,roni,mes_molt_humit,120,16,13.333333333333334,-0.18384674825075423,0.04442827677655052,0.18384674825075423,Catalunya_Balears,Spring,,0.5122318969531707
subregio_periode,roni,mes_molt_sec,120,3,2.5,0.1820359078716444,0.04660306084193259,0.1820359078716444,Llevant_Iberic,,2001-2010,0.5129722796098283
subregio_estacio,roni,mes_molt_calid,120,10,8.333333333333332,-0.18146676831154776,0.047304586155871485,0.18146676831154776,Mediterrani_Central_Occidental,Spring,,0.5129722796098283
subregio_estacio,roni,episodi_fred_i_humit,120,2,1.6666666666666667,0.18057745135642528,0.04841830190194808,0.18057745135642528,Catalunya_Balears,Summer,,0.5129722796098283
periode,roni,mes_molt_calid,480,151,31.458333333333332,0.17879237726460478,8.19199671015213e-05,0.17879237726460478,,,2011-2020,0.013045576928769703
estacio,roni,sol_molt_humit,480,153,31.874999999999996,-0.1766601744025743,9.98385989446661e-05,0.1766601744025743,,Spring,,0.013045576928769703
subregio_periode,roni,mes_molt_sec,120,6,5.0,0.17545841236272328,0.055259476651105095,0.17545841236272328,Catalunya_Balears,,2001-2010,0.5480605478763202
subregio_estacio,roni,sol_molt_humit,120,43,35.833333333333336,-0.17515026469453587,0.05569546535325576,0.17515026469453587,Llevant_Iberic,Spring,,0.5480605478763202
subregio_periode,roni,sol_molt_sec,120,27,22.5,-0.17382711728259287,0.057599817379275726,0.17382711728259287,Catalunya_Balears,,1981-1990,0.5480605478763202
estacio,roni,sol_molt_sec,480,141,29.375,-0.17040031132929132,0.00017611809649012672,0.17040031132929132,,Autumn,,0.017259573456032417
subregio_periode,roni,episodi_calid_i_sol_sec,120,15,12.5,0.167771253813249,0.06700945584112812,0.167771253813249,Llevant_Iberic,,2011-2020,0.5480605478763202
subregio_estacio,roni,sol_molt_sec,120,36,30.0,0.16742024016699072,0.06759107630015254,0.16742024016699072,Mediterrani_Central_Occidental,Spring,,0.5480605478763202
subregio_periode,roni,mes_molt_sec,120,12,10.0,0.16577037895980792,0.07038001691132328,0.16577037895980792,Mediterrani_Central_Occidental,,2011-2020,0.5480605478763202
subregio_periode,roni,mes_molt_calid,120,37,30.833333333333336,0.1655377685998883,0.07078061487575543,0.1655377685998883,Catalunya_Balears,,2011-2020,0.5480605478763202
subregio_periode,roni,mes_molt_sec,120,21,17.5,0.163648891161395,0.07410239754717746,0.163648891161395,Golf_Lleo,,1991-2000,0.5480605478763202
subregio_estacio,roni,mes_molt_fred,120,15,12.5,-0.16290086342070406,0.0754521694387788,0.16290086342070406,Mediterrani_Central_Occidental,Autumn,,0.5480605478763202
subregio_estacio,roni,episodi_fred_i_humit,120,5,4.166666666666666,0.16153658219323866,0.07796490770481133,0.16153658219323866,Golf_Lleo,Summer,,0.5480605478763202
subregio_estacio,roni,mes_molt_sec,120,6,5.0,0.16094862150928854,0.0790683549155004,0.16094862150928854,Catalunya_Balears,Spring,,0.5480605478763202
subregio_periode,roni,mes_molt_calid,120,29,24.166666666666668,0.16033223137875624,0.08023858514041987,0.16033223137875624,Llevant_Iberic,,2011-2020,0.5480605478763202
