ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr,significatiu_fdr_005
subregio_estacio,wemo,vent_u10,120,0.8783468061660941,1.2456781820460294e-39,0.8715669290399949,2.487092055797847e-38,0.8783468061660941,0.8715669290399949,Mediterrani_Central_Occidental,Winter,,2.8746419585677602e-37,5.526871235106326e-36,True
subregio_estacio,wemo,vent_u10,120,0.8723077632173356,1.808179450275109e-38,0.8731677846824908,1.2457469109637636e-38,0.8723077632173356,0.8731677846824908,Golf_Lleo,Winter,,3.7410609316036745e-36,2.8748005637625312e-36,True
subregio_estacio,wemo,vent_u10,120,0.86438633877092,4.9508132691278795e-37,0.8564820767384733,1.0996969092413674e-35,0.86438633877092,0.8564820767384733,Catalunya_Balears,Winter,,9.90162653825576e-35,2.275234984637312e-33,True
subregio_estacio,nao,pressio_nivell_mar,120,0.8274206514820366,2.379658906967578e-31,0.7947877421112909,2.341582216057206e-27,0.8274206514820366,0.7947877421112909,Llevant_Iberic,Winter,,4.3266525581228686e-29,3.7971603503630366e-25,True
subregio_periode,wemo,vent_u10,120,0.8229480388796278,9.36752991152664e-31,0.8246334740342677,5.614989738630853e-31,0.8229480388796278,0.8246334740342677,Mediterrani_Central_Occidental,,2011-2020,1.653093513798819e-28,9.90880542111327e-29,True
subregio_estacio,wemo,velocitat_vent,120,0.8147599476722672,1.044541982928341e-29,0.8334346170871842,3.5382670995233133e-32,0.8147599476722672,0.8334346170871842,Mediterrani_Central_Occidental,Winter,,1.6938518642081203e-27,6.433212908224206e-30,True
estacio_periode,nao,pressio_nivell_mar,120,0.7971279818219901,1.2816407871078825e-27,0.7612563110523888,6.060007504545879e-24,0.7971279818219901,0.7612563110523888,,Winter,1981-1990,1.9224611806618237e-25,7.272009005455054e-22,True
estacio_periode,nao,pressio_nivell_mar,120,0.7888583402276096,1.041724566242157e-26,0.7603100083978499,7.423170098812461e-24,0.7888583402276096,0.7603100083978499,,Winter,1991-2000,1.48817795177451e-24,8.733141292720544e-22,True
subregio_periode,wemo,vent_u10,120,0.7832025945854605,4.139842942284446e-26,0.7749762132985629,2.865844357493965e-25,0.7832025945854605,0.7749762132985629,Catalunya_Balears,,2011-2020,5.645240375842426e-24,4.193918571942387e-23,True
subregio_estacio,wemo,vent_u10,120,0.7773476505026864,1.6546447953302175e-25,0.7458238058056472,1.4810951072702128e-22,0.7773476505026864,0.7458238058056472,Mediterrani_Central_Occidental,Autumn,,1.9855737543962612e-23,1.532167352348496e-20,True
subregio_estacio,wemo,vent_u10,120,0.7748785635191577,2.930981507196709e-25,0.7681614882188531,1.3393369638929395e-24,0.7748785635191577,0.7681614882188531,Mediterrani_Central_Occidental,Spring,,3.448213537878481e-23,1.8263685871267354e-22,True
subregio_estacio,nao,pressio_nivell_mar,120,0.7717758201313492,5.951400193649186e-25,0.7472350031510891,1.1164287110577926e-22,0.7717758201313492,0.7472350031510891,Catalunya_Balears,Winter,,6.737434181489645e-23,1.1751881169029396e-20,True
estacio_periode,nao,pressio_nivell_mar,120,0.7681237369441433,1.3506274083718013e-24,0.7304430261330295,2.8710977124129005e-21,0.7681237369441433,0.7304430261330295,,Winter,2001-2010,1.4734117182237834e-22,2.691654105387094e-19,True
