ambit,teleconnexio,fase_a,fase_b,variable,n_a,n_b,mean_a,mean_b,diff_b_minus_a,cohens_d,mannwhitney_p,abs_diff,abs_d,subregio,estacio,periode,mannwhitney_q_fdr
subregio_estacio,wemo,Negative,Positive,anomalia_precipitacio_mensual_mm,33,43,13.061627957828794,-13.18575610296021,-26.247384060789003,-1.4023135712775645,4.896711632064719e-07,26.247384060789003,1.4023135712775645,Llevant_Iberic,Winter,,5.942077036662805e-06
subregio_estacio,wemo,Negative,Positive,anomalia_temperatura,48,34,0.4839198604583334,-0.9696460984411767,-1.45356595889951,-1.3480385113800721,4.0101813444209226e-07,1.45356595889951,1.3480385113800721,Golf_Lleo,Spring,,5.059202346003813e-06
subregio_estacio,wemo,Negative,Positive,anomalia_temperatura,46,34,0.41566313592826093,-0.6122236590588236,-1.0278867949870845,-1.289807929802572,2.52969710689554e-06,1.0278867949870845,1.289807929802572,Mediterrani_Central_Occidental,Autumn,,2.6144238042556775e-05
subregio_estacio,wemo,Negative,Positive,anomalia_sst,46,34,0.3571170321956522,-0.575087717117647,-0.9322047493132992,-1.2895339001170318,1.8073719555984394e-06,0.9322047493132992,1.2895339001170318,Mediterrani_Central_Occidental,Autumn,,1.9617705648706678e-05
subregio_estacio,wemo,Negative,Positive,anomalia_sst,46,34,0.37539140333478255,-0.6790036912352941,-1.0543950945700766,-1.2875688944266048,2.6532001667625374e-06,1.0543950945700766,1.2875688944266048,Golf_Lleo,Autumn,,2.7216604098501052e-05
subregio_estacio,wemo,Negative,Positive,anomalia_temperatura,46,34,0.4460881467826086,-0.6108061021176471,-1.0568942489002557,-1.2377464678137275,3.872175856455737e-06,1.0568942489002557,1.2377464678137275,Catalunya_Balears,Autumn,,3.819132351572782e-05
estacio,wemo,Negative,Positive,anomalia_sst,184,136,0.33096747483913047,-0.5506726540772059,-0.8816401289163364,-1.1989207442186514,3.637068191387954e-19,0.8816401289163364,1.1989207442186514,,Autumn,,2.3806264525448424e-17
subregio_estacio,wemo,Negative,Positive,anomalia_sst,46,34,0.2962658528913043,-0.5001285238970588,-0.796394376788363,-1.1732919770855887,1.731630994299279e-05,0.796394376788363,1.1732919770855887,Catalunya_Balears,Autumn,,0.000144414013424187
subregio_estacio,wemo,Negative,Positive,anomalia_temperatura,46,34,0.5475092410869565,-0.8016426685882354,-1.349151909675192,-1.0999725417969912,3.454490337564703e-05,1.349151909675192,1.0999725417969912,Golf_Lleo,Autumn,,0.0002674444132308157
subregio_estacio,wemo,Negative,Positive,anomalia_humitat_sol_capa1,46,34,0.019479759839130435,-0.02940533311617647,-0.04888509295530691,-1.0924535338637673,2.2496233435604684e-05,0.04888509295530691,1.0924535338637673,Llevant_Iberic,Autumn,,0.0001847599400034453
estacio,wemo,Negative,Positive,anomalia_temperatura,184,136,0.43134864455271743,-0.5967456608455882,-1.0280943053983056,-1.0837847417635236,4.2860513856593556e-17,1.0280943053983056,1.0837847417635236,,Autumn,,2.314467748256052e-15
subregio_estacio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,28,69,16.8244605196906,-8.744000238298936,-25.568460757989534,-1.0776210682541985,1.5680444153556574e-05,25.568460757989534,1.0776210682541985,Catalunya_Balears,Winter,,0.00013178894697152608
subregio_estacio,wemo,Negative,Positive,anomalia_temperatura,48,34,0.26887681414583336,-0.5722174352941175,-0.8410942494399509,-1.0697688674882926,4.079790251481519e-06,0.8410942494399509,1.0697688674882926,Catalunya_Balears,Spring,,3.9695256500901274e-05
subregio_estacio,wemo,Negative,Positive,anomalia_sst,46,34,0.2950956109347826,-0.44847068405882357,-0.7435662949936062,-1.0169963666397588,6.462867987968607e-05,0.7435662949936062,1.0169963666397588,Llevant_Iberic,Autumn,,0.000457698191934826
subregio_estacio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,66,32,8.676975127907863,-20.22651637007948,-28.903491497987343,-1.013174975567634,7.1680534056124754e-06,28.903491497987343,1.013174975567634,Mediterrani_Central_Occidental,Autumn,,6.67370489488058e-05
subregio_estacio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,28,69,17.010072485650223,-9.233848994646381,-26.243921480296606,-1.010061498125093,4.0614477580320405e-05,26.243921480296606,1.010061498125093,Mediterrani_Central_Occidental,Winter,,0.00030781498797716514
subregio_estacio,wemo,Negative,Positive,anomalia_sst,48,34,0.23723743416666665,-0.399186919382353,-0.6364243535490197,-1.0074075854672662,9.200148344253583e-05,0.6364243535490197,1.0074075854672662,Golf_Lleo,Spring,,0.0006058634275484067
subregio_estacio,wemo,Negative,Positive,anomalia_precipitacio_mensual_mm,46,34,13.760565643725188,-13.960998821017498,-27.721564464742684,-0.9959418938337004,8.104449061887357e-06,27.721564464742684,0.9959418938337004,Llevant_Iberic,Autumn,,7.417631344778258e-05
estacio,wemo,Negative,Positive,anomalia_temperatura,192,136,0.27938577165364586,-0.5878465547058823,-0.8672323263595282,-0.9806387658822778,3.277814131710156e-16,0.8672323263595282,0.9806387658822778,,Spring,,1.685732982022366e-14
subregio_estacio,wemo,Negative,Positive,anomalia_precipitacio_mensual_mm,33,43,12.36345723991593,-11.519726110726248,-23.883183350642177,-0.975078267617529,0.0004128954851431472,23.883183350642177,0.975078267617529,Catalunya_Balears,Winter,,0.0022240754311950075
subregio_estacio,wemo,Negative,Positive,anomalia_humitat_sol_capa1,33,43,0.021120305769696972,-0.02057060850232558,-0.04169091427202255,-0.9712740661077808,0.0001683865790715638,0.04169091427202255,0.9712740661077808,Llevant_Iberic,Winter,,0.0010274435333180165
subregio_estacio,wemo,Negative,Positive,anomalia_sst,48,34,0.17544563595833332,-0.35666656576470585,-0.5321122017230392,-0.964447593913111,0.00022050073542525422,0.5321122017230392,0.964447593913111,Catalunya_Balears,Spring,,0.0012734801832046767
subregio_estacio,wemo,Negative,Positive,anomalia_precipitacio_mensual_mm,48,34,-10.163190128607674,21.846018541396106,32.00920867000378,0.925162214561188,0.00022881105294229303,32.00920867000378,0.925162214561188,Golf_Lleo,Spring,,0.0013040418848426199
subregio_estacio,wemo,Negative,Positive,anomalia_temperatura,48,34,0.24170686801458338,-0.4190221652941177,-0.660729033308701,-0.9231251584717933,3.114864934961966e-05,0.660729033308701,0.9231251584717933,Mediterrani_Central_Occidental,Spring,,0.00024555139633276814
subregio_estacio,wemo,Negative,Positive,anomalia_sst,48,34,0.19295470037499998,-0.2978410733647059,-0.49079577373970584,-0.9088800557025941,0.00031800990212700776,0.49079577373970584,0.9088800557025941,Mediterrani_Central_Occidental,Spring,,0.001756781044998304
estacio,wemo,Negative,Positive,anomalia_sst,192,136,0.1688830607734375,-0.3244763623426471,-0.4933594231160846,-0.8884777930002491,2.7294806517504656e-11,0.4933594231160846,0.8884777930002491,,Spring,,6.936092009154125e-10
subregio_estacio,nao,Negative,Positive,anomalia_humitat_sol_capa1,28,69,0.01567060937857143,-0.010172714740579712,-0.02584332411915114,-0.8801848978458668,0.0001977901626602777,0.02584332411915114,0.8801848978458668,Mediterrani_Central_Occidental,Winter,,0.001173699866335714
estacio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,112,276,15.74336592783428,-8.397843536360195,-24.141209464194475,-0.8691889112388143,8.406132136606779e-14,24.141209464194475,0.8691889112388143,,Winter,,3.3624528546427116e-12
subregio,wemo,Negative,Positive,anomalia_precipitacio_mensual_mm,170,145,8.886043661165544,-9.233346614702125,-18.11939027586767,-0.8691843861117848,9.144694639295575e-15,18.11939027586767,0.8691843861117848,Llevant_Iberic,,,4.2026681746549874e-13
subregio_estacio,nao,Negative,Positive,anomalia_humitat_sol_capa1,28,69,0.0124263721625,-0.007399859621449273,-0.019826231783949273,-0.852423738940711,0.00048130641595088835,0.019826231783949273,0.852423738940711,Catalunya_Balears,Winter,,0.002535663069399802
subregio_estacio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,66,32,7.242294315632546,-18.92254671198316,-26.164841027615704,-0.8401430012533159,7.082866569588658e-05,26.164841027615704,0.8401430012533159,Catalunya_Balears,Autumn,,0.00048722903790800957
estacio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,264,128,8.592525695730002,-19.346171566139674,-27.938697261869677,-0.8233024118737582,1.3279082166391368e-15,27.938697261869677,0.8233024118737582,,Autumn,,6.373959439867857e-14
