ambit,teleconnexio,mean_abs_r,median_abs_r,max_abs_r,n_tests,n_fdr_005
estacio,nao,0.2013522778414393,0.14179663920600302,0.7484116442747171,64,35
estacio,wemo,0.1643306670966351,0.10964439602703066,0.7283673837797724,64,29
estacio,roni,0.07699032961958541,0.07250954801435541,0.2450698178535838,64,16
global,nao,0.20246651882589112,0.19095819343227977,0.6498228871655591,16,13
global,wemo,0.13085284296394645,0.07045085994372775,0.5574485877038832,16,8
global,roni,0.024424014166213752,0.020921918436798602,0.06860536113872887,16,1
subregio,nao,0.21737914787593662,0.19179975381931955,0.6839680097402172,64,51
subregio,wemo,0.2014933646064616,0.16070715979152994,0.7055113928439156,64,45
subregio,roni,0.027178123153036426,0.022570385683165266,0.079460785006165,64,0
subregio_estacio,wemo,0.23809406977725348,0.187258719882558,0.8783468061660941,256,104
subregio_estacio,nao,0.2374039570932053,0.20277585372121437,0.8274206514820366,256,110
subregio_estacio,roni,0.09602338641744412,0.08041152825625632,0.26517098630396696,256,13
