data,any,mes,dies_mes,estacio,periode,subregio,nao,wemo,roni,fase_nao,fase_wemo,fase_enso,temperatura_mitjana,precipitacio_mm_dia,precipitacio_mensual_mm,humitat_sol_capa1,humitat_sol_capa2,evaporacio_potencial,temperatura_superficie_mar,pressio_nivell_mar,vent_u10,vent_v10,velocitat_vent,anomalia_temperatura,anomalia_precipitacio_mm_dia,anomalia_precipitacio_mensual_mm,anomalia_humitat_sol_capa1,anomalia_sst,mes_molt_calid,mes_molt_fred,mes_molt_sec,mes_molt_humit,sol_molt_sec,sol_molt_humit,episodi_calid_i_sec,episodi_fred_i_humit,episodi_calid_i_sol_sec
1981-01-01,1981,1,31,Winter,1981-1990,Llevant_Iberic,1.0,1.27,0.0,Positive,Positive,Neutral,9.200457,0.5140076,15.934236466884613,0.20250857,0.21877381,-0.0027749976,14.095931,1025.401,1.407515,-0.97272605,1.7109339,-1.1507826,-0.7325308,-22.708452109852807,-0.07169196,-0.89132786,False,True,False,False,True,False,False,False,False
1981-02-01,1981,2,28,Winter,1981-1990,Llevant_Iberic,1.04,-0.18,-0.3,Positive,Neutral,Neutral,9.363039,1.1931881,33.409265995025635,0.22360069,0.21859317,-0.0032152152,13.644383,1019.8061,0.3897393,-0.9727275,1.0479006,-1.4331961,0.03286004,0.6958803649991765,-0.041370183,-0.81462574,False,True,False,False,True,False,False,False,False
1981-03-01,1981,3,31,Spring,1981-1990,Llevant_Iberic,0.01,0.48,-0.3,Neutral,Neutral,Neutral,13.703812,0.39757723,12.32489401102066,0.18081017,0.2050971,-0.005481885,14.553995,1015.60645,1.784614,0.51533985,1.8575312,1.1606627,-0.75870055,-23.519715952128173,-0.06282127,-0.30259323,True,False,False,False,True,False,False,False,True
1981-04-01,1981,4,30,Spring,1981-1990,Llevant_Iberic,-3.04,-1.36,-0.3,Negative,Negative,Neutral,13.411357,3.294639,98.83917331695557,0.3009109,0.2743936,-0.004633949,15.798634,1014.0923,0.12087721,-0.26301658,0.28946334,-0.92246723,1.9495239,58.48571699112654,0.065779656,-0.16885567,False,False,False,True,False,True,False,False,False
1981-05-01,1981,5,31,Spring,1981-1990,Llevant_Iberic,0.05,1.69,-0.3,Neutral,Positive,Neutral,16.145916,0.8345791,25.871952414512634,0.24457146,0.269297,-0.0073564504,16.973034,1014.405,1.1381234,0.26595962,1.1687855,-1.1762905,-0.30465627,-9.444344282150269,0.030780926,-1.1558914,False,True,False,False,False,True,False,False,False
1981-06-01,1981,6,30,Summer,1981-1990,Llevant_Iberic,-1.57,-0.76,-0.3,Negative,Negative,Neutral,20.70221,1.4049038,42.14711308479309,0.17857902,0.20167655,-0.00834792,20.738997,1016.1801,-1.3137914,-0.07567812,1.3159692,-0.54366875,0.79625535,23.887660939246416,0.0045245886,-0.52542114,False,False,False,False,False,False,False,False,False
1981-07-01,1981,7,31,Summer,1981-1990,Llevant_Iberic,1.74,-0.09,-0.3,Positive,Neutral,Neutral,22.250225,0.16466168,5.104511946439743,0.16068172,0.20759879,-0.009025816,22.574934,1017.4042,-1.7825707,-0.6930717,1.9125655,-1.9323959,-0.09342426,-2.896152402460576,0.022132114,-1.5823498,False,True,False,False,False,True,False,False,False
1981-08-01,1981,8,31,Summer,1981-1990,Llevant_Iberic,1.01,-0.63,-0.2,Positive,Negative,Neutral,23.004538,0.7614428,23.604726195335388,0.16781226,0.17469425,-0.0073489444,24.04916,1016.1496,-1.1860923,-0.20926583,1.2044115,-1.6112595,0.20751792,6.433055972307919,0.019630328,-1.4492111,False,True,False,False,False,False,False,False,False
1981-09-01,1981,9,30,Autumn,1981-1990,Llevant_Iberic,0.27,1.27,-0.1,Neutral,Positive,Neutral,21.906101,0.53609276,16.082782745361328,0.16426256,0.1720844,-0.006647681,23.732067,1016.519,0.45073763,0.5247948,0.69179046,-0.059690475,-0.7614957,-22.84487057849765,-0.022707924,-0.5433636,False,False,False,False,True,False,False,False,False
1981-10-01,1981,10,31,Autumn,1981-1990,Llevant_Iberic,-1.06,1.84,-0.2,Negative,Positive,Neutral,18.310896,0.46972796,14.561566859483719,0.16078988,0.17646767,-0.0050257496,20.922178,1017.60016,0.653534,-0.1500989,0.67054933,0.031454086,-1.0939803,-33.913389913737774,-0.064100504,-0.7272434,False,False,True,False,True,False,False,False,False
