any,estacio_3m,oni,mes,data,roni,fase_enso,oni_lag_1,roni_lag_1,oni_lag_3,roni_lag_3,oni_lag_6,roni_lag_6,nao,wemo,estacio,periode,fase_nao,fase_wemo
1981,DJF,-0.3,1,1981-01-01,0.0,Neutral,,,,,,,1.0,1.27,Winter,1981-1990,Positive,Positive
1981,JFM,-0.5,2,1981-02-01,-0.3,Neutral,-0.3,0.0,,,,,1.04,-0.18,Winter,1981-1990,Positive,Neutral
1981,FMA,-0.5,3,1981-03-01,-0.3,Neutral,-0.5,-0.3,,,,,0.01,0.48,Spring,1981-1990,Neutral,Neutral
1981,MAM,-0.4,4,1981-04-01,-0.3,Neutral,-0.5,-0.3,-0.3,0.0,,,-3.04,-1.36,Spring,1981-1990,Negative,Negative
1981,AMJ,-0.3,5,1981-05-01,-0.3,Neutral,-0.4,-0.3,-0.5,-0.3,,,0.05,1.69,Spring,1981-1990,Neutral,Positive
1981,MJJ,-0.3,6,1981-06-01,-0.3,Neutral,-0.3,-0.3,-0.5,-0.3,,,-1.57,-0.76,Summer,1981-1990,Negative,Negative
1981,JJA,-0.3,7,1981-07-01,-0.3,Neutral,-0.3,-0.3,-0.4,-0.3,-0.3,0.0,1.74,-0.09,Summer,1981-1990,Positive,Neutral
1981,JAS,-0.2,8,1981-08-01,-0.2,Neutral,-0.3,-0.3,-0.3,-0.3,-0.5,-0.3,1.01,-0.63,Summer,1981-1990,Positive,Negative
1981,ASO,-0.2,9,1981-09-01,-0.1,Neutral,-0.2,-0.2,-0.3,-0.3,-0.5,-0.3,0.27,1.27,Autumn,1981-1990,Neutral,Positive
1981,SON,-0.1,10,1981-10-01,-0.2,Neutral,-0.2,-0.1,-0.3,-0.3,-0.4,-0.3,-1.06,1.84,Autumn,1981-1990,Negative,Positive
1981,OND,-0.2,11,1981-11-01,-0.2,Neutral,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,1.66,0.27,Autumn,1981-1990,Positive,Neutral
1981,NDJ,-0.1,12,1981-12-01,0.0,Neutral,-0.2,-0.2,-0.2,-0.1,-0.3,-0.3,-2.2,2.48,Winter,1981-1990,Negative,Positive
1982,DJF,0.0,1,1982-01-01,0.1,Neutral,-0.1,0.0,-0.1,-0.2,-0.3,-0.3,-0.72,-0.23,Winter,1981-1990,Negative,Neutral
1982,JFM,0.1,2,1982-02-01,0.3,Neutral,0.0,0.1,-0.2,-0.2,-0.2,-0.2,2.25,-0.9,Winter,1981-1990,Positive,Negative
1982,FMA,0.2,3,1982-03-01,0.4,Neutral,0.1,0.3,-0.1,0.0,-0.2,-0.1,1.66,-0.07,Spring,1981-1990,Positive,Neutral
1982,MAM,0.5,4,1982-04-01,0.6,El Nino,0.2,0.4,0.0,0.1,-0.1,-0.2,-0.99,-1.48,Spring,1981-1990,Negative,Negative
1982,AMJ,0.7,5,1982-05-01,0.8,El Nino,0.5,0.6,0.1,0.3,-0.2,-0.2,1.1,0.04,Spring,1981-1990,Positive,Neutral
1982,MJJ,0.7,6,1982-06-01,0.8,El Nino,0.7,0.8,0.2,0.4,-0.1,0.0,-1.86,1.15,Summer,1981-1990,Negative,Positive
1982,JJA,0.8,7,1982-07-01,0.9,El Nino,0.7,0.8,0.5,0.6,0.0,0.1,-0.65,0.94,Summer,1981-1990,Negative,Positive
1982,JAS,1.1,8,1982-08-01,1.3,El Nino,0.8,0.9,0.7,0.8,0.1,0.3,1.45,-0.04,Summer,1981-1990,Positive,Neutral
1982,ASO,1.6,9,1982-09-01,1.8,El Nino,1.1,1.3,0.7,0.8,0.2,0.4,1.08,-0.05,Autumn,1981-1990,Positive,Neutral
