WeMOi monthly data (1821-2019)												
												
-999 missing value												
												
Moderate reliable values: 1821-1869. Jul1873-Aug1873. May1874. 1921. Jul1924. Apr1927. 1933-1943. Jun1989-Dec1994. Mar2002. Jun2006-Jul2006. Jun2011-Dec2011.												
                                                                                												
MARTIN-VIDE J. LOPEZ-BUSTINS JA. 2006. The Western Mediterranean Oscillation and Iberian Peninsula Rainfall. International Journal of Climatology 26: 1455-1475.												
												
												
												
	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1821	-1,23	-1,61	0,38	-0,23	-0,77	0,07	-1,40	-1,51	-0,55	-1,06	-1,35	0,38
1822	0,47	-1,78	-0,71	-4,18	-2,84	-1,67	-1,83	-1,77	-1,69	-0,24	-1,64	-1,54
1823	-1,39	1,23	-0,23	-2,67	-2,70	2,79	0,94	-0,88	-0,21	0,53	-1,34	0,42
1824	-0,45	-1,11	1,09	0,69	-0,50	-0,44	-3,06	-1,68	-1,97	0,39	0,75	-999
1825	-999	-999	-999	-3,80	-0,45	-0,55	-1,97	-1,31	-1,77	-0,05	1,53	-0,09
1826	-1,82	-0,32	-1,24	0,33	0,69	-0,85	-0,56	-1,94	0,52	0,03	1,24	0,85
1827	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1828	-0,19	0,51	1,39	0,27	0,60	-0,82	1,52	0,97	-0,37	0,34	-2,04	-0,28
1829	0,12	0,01	-0,70	2,37	0,36	1,74	0,44	0,58	1,03	1,18	-1,15	-1,11
1830	-1,32	-0,08	-0,57	-0,20	-0,95	1,19	-0,60	0,18	1,40	-0,58	-0,46	0,80
1831	-0,78	0,21	-0,61	-2,65	-0,91	0,14	-0,12	-999	-999	-999	-999	-999
1832	-999	-999	-999	-999	0,43	0,14	0,23	0,35	-0,12	-0,10	-0,47	0,88
1833	-1,98	1,53	-0,50	2,18	-1,09	0,08	2,76	1,37	0,38	-1,13	-0,64	2,05
1834	0,85	-1,50	-1,14	-1,46	-0,96	-2,48	-0,27	-0,26	-0,98	0,25	-2,12	-1,14
1835	-1,00	1,23	1,01	-1,30	1,92	0,11	-1,87	0,83	0,13	-999	-1,55	-1,82
1836	-1,22	0,50	-0,19	0,53	-1,68	-0,70	-0,23	-1,14	0,62	0,69	2,57	1,18
1837	-1,23	-0,02	-1,37	2,70	-0,04	-2,02	-1,24	-1,98	-0,38	0,18	0,91	-0,75
1838	-1,83	-0,09	1,10	1,24	-1,05	1,63	0,19	-0,06	-0,35	0,93	0,72	-0,43
1839	1,20	1,33	0,17	-1,19	-1,51	0,53	0,29	-0,75	1,84	-0,82	-0,35	0,55
1840	0,94	-0,82	-1,34	-1,25	3,14	-1,44	2,50	-0,71	1,31	0,63	0,31	-2,44
1841	0,85	-1,33	-0,41	0,00	-2,81	-0,80	-1,68	-2,61	-1,56	0,38	0,41	0,64
1842	0,66	-1,60	0,92	-1,09	-0,38	-1,09	-0,58	-2,50	-0,10	-1,45	1,05	-0,71
1843	1,78	-0,62	-1,11	0,89	0,84	0,38	-0,98	-2,70	-2,32	-0,87	-0,52	-0,71
1844	0,84	1,87	0,30	-2,67	-1,47	-1,20	1,13	-0,13	0,13	0,35	1,55	-1,48
1845	0,50	1,54	0,20	1,10	1,21	0,44	-0,77	0,06	-0,60	0,09	-0,80	1,49
1846	0,81	0,35	1,10	1,35	-1,36	-1,98	-1,23	0,26	-0,40	1,86	-1,12	1,43
1847	-0,83	1,51	-1,19	3,08	0,18	-0,21	-0,94	-0,06	0,80	0,10	-0,63	-0,03
1848	0,04	1,72	1,14	0,32	-1,69	0,82	1,31	-0,32	-2,33	1,01	0,35	-0,97
1849	0,56	0,59	-0,16	1,78	-0,27	-0,91	-0,70	-0,12	-999	-999	0,98	1,10
1850	0,40	1,47	-2,40	1,86	-0,27	-1,34	0,37	-1,14	-1,33	1,54	1,72	0,31
1851	-0,19	-0,82	1,93	-0,63	1,13	-0,03	2,11	0,69	0,23	0,63	2,66	-1,00
1852	-0,03	1,24	-2,39	-0,60	0,54	2,07	-0,39	1,92	1,46	1,11	0,78	-0,08
1853	0,09	1,11	1,43	0,77	-2,22	2,41	-0,84	-0,55	0,16	0,84	-1,66	-0,94
1854	-0,21	0,39	-0,46	-1,64	0,33	0,85	0,01	-2,63	-0,83	0,92	1,11	1,87
1855	-0,80	-0,43	0,95	0,43	0,56	0,60	0,49	-1,53	-1,04	0,39	-1,82	-1,19
1856	-0,95	-0,64	-2,96	1,14	2,43	-1,18	-1,13	-0,55	0,89	-0,53	0,75	0,28
1857	1,08	-3,44	-0,44	1,42	-1,87	-1,48	-0,63	-1,74	-0,40	-0,91	-3,20	-1,55
1858	-0,86	-1,93	0,25	1,27	2,60	-0,67	1,68	0,41	-0,35	-0,18	-1,94	0,74
1859	-0,85	0,26	0,57	2,06	0,34	1,44	-0,97	-0,61	0,93	1,48	-0,36	0,65
1860	0,47	1,11	0,71	0,84	1,54	0,54	0,31	-0,23	0,56	0,64	-0,29	1,49
1861	-0,87	-0,80	1,65	-1,16	-1,43	0,99	1,74	-0,51	1,71	-1,89	0,30	-1,73
1862	0,55	-0,81	-0,38	-1,02	-0,40	0,88	-0,58	0,48	-0,34	-0,14	-0,02	0,51
1863	0,02	-0,96	2,28	-1,05	-0,23	0,14	0,15	0,62	1,02	-0,97	0,22	0,57
1864	-1,49	-0,21	-0,55	-1,22	-0,55	1,44	1,39	-0,03	1,38	-2,12	1,19	-0,64
1865	1,02	1,46	2,05	-3,03	-0,66	-0,47	0,64	1,49	-1,67	1,55	-0,42	-1,03
1866	-0,17	0,39	0,13	-1,76	-1,10	-0,83	2,43	0,60	0,79	-1,03	0,66	-0,12
1867	0,30	0,07	-0,49	2,43	-0,59	-0,76	0,33	-1,36	-0,32	0,79	-1,43	1,11
1868	0,99	-0,23	1,20	1,03	-1,36	-0,79	1,91	0,27	0,25	1,66	0,83	0,58
