Indicador,Teleconnexió,Fase,Estació,Subregió,Període,Percentatge mesos,N episodis,N mesos
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Llevant Ibèric,Tots,3.57,1,28
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Llevant Ibèric,1981-1990,12.5,1,8
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Llevant Ibèric,1991-2000,0.0,0,5
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Llevant Ibèric,2001-2010,0.0,0,13
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Llevant Ibèric,2011-2020,0.0,0,2
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Llevant Ibèric,Tots,5.0,2,40
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Llevant Ibèric,1981-1990,0.0,0,12
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Llevant Ibèric,1991-2000,0.0,0,11
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Llevant Ibèric,2001-2010,10.0,1,10
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Llevant Ibèric,2011-2020,14.29,1,7
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Llevant Ibèric,Tots,12.28,7,57
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Llevant Ibèric,1981-1990,0.0,0,12
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Llevant Ibèric,1991-2000,9.09,1,11
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Llevant Ibèric,2001-2010,22.22,4,18
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Llevant Ibèric,2011-2020,12.5,2,16
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Llevant Ibèric,Tots,3.03,2,66
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Llevant Ibèric,1981-1990,0.0,0,16
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Llevant Ibèric,1991-2000,5.88,1,17
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Llevant Ibèric,2001-2010,5.56,1,18
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Llevant Ibèric,2011-2020,0.0,0,15
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Catalunya-Balears,Tots,0.0,0,28
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Catalunya-Balears,1981-1990,0.0,0,8
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Catalunya-Balears,1991-2000,0.0,0,5
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Catalunya-Balears,2001-2010,0.0,0,13
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Catalunya-Balears,2011-2020,0.0,0,2
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Catalunya-Balears,Tots,0.0,0,40
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Catalunya-Balears,1981-1990,0.0,0,12
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Catalunya-Balears,1991-2000,0.0,0,11
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Catalunya-Balears,2001-2010,0.0,0,10
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Catalunya-Balears,2011-2020,0.0,0,7
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Catalunya-Balears,Tots,12.28,7,57
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Catalunya-Balears,1981-1990,0.0,0,12
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Catalunya-Balears,1991-2000,9.09,1,11
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Catalunya-Balears,2001-2010,16.67,3,18
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Catalunya-Balears,2011-2020,18.75,3,16
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Catalunya-Balears,Tots,0.0,0,66
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Catalunya-Balears,1981-1990,0.0,0,16
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Catalunya-Balears,1991-2000,0.0,0,17
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Catalunya-Balears,2001-2010,0.0,0,18
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Catalunya-Balears,2011-2020,0.0,0,15
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Golf del Lleó,Tots,0.0,0,28
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Golf del Lleó,1981-1990,0.0,0,8
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Golf del Lleó,1991-2000,0.0,0,5
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Golf del Lleó,2001-2010,0.0,0,13
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Golf del Lleó,2011-2020,0.0,0,2
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Golf del Lleó,Tots,2.5,1,40
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Golf del Lleó,1981-1990,0.0,0,12
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Golf del Lleó,1991-2000,0.0,0,11
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Golf del Lleó,2001-2010,0.0,0,10
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Golf del Lleó,2011-2020,14.29,1,7
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Golf del Lleó,Tots,14.04,8,57
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Golf del Lleó,1981-1990,0.0,0,12
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Golf del Lleó,1991-2000,9.09,1,11
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Golf del Lleó,2001-2010,16.67,3,18
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Golf del Lleó,2011-2020,25.0,4,16
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Golf del Lleó,Tots,0.0,0,66
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Golf del Lleó,1981-1990,0.0,0,16
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Golf del Lleó,1991-2000,0.0,0,17
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Golf del Lleó,2001-2010,0.0,0,18
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Golf del Lleó,2011-2020,0.0,0,15
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Mediterrani central occidental,Tots,0.0,0,28
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Mediterrani central occidental,1981-1990,0.0,0,8
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Mediterrani central occidental,1991-2000,0.0,0,5
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Mediterrani central occidental,2001-2010,0.0,0,13
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Hivern,Mediterrani central occidental,2011-2020,0.0,0,2
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Mediterrani central occidental,Tots,2.5,1,40
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Mediterrani central occidental,1981-1990,0.0,0,12
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Mediterrani central occidental,1991-2000,0.0,0,11
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Mediterrani central occidental,2001-2010,10.0,1,10
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Primavera,Mediterrani central occidental,2011-2020,0.0,0,7
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Mediterrani central occidental,Tots,5.26,3,57
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Mediterrani central occidental,1981-1990,0.0,0,12
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Mediterrani central occidental,1991-2000,0.0,0,11
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Mediterrani central occidental,2001-2010,11.11,2,18
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Estiu,Mediterrani central occidental,2011-2020,6.25,1,16
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Mediterrani central occidental,Tots,6.06,4,66
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Mediterrani central occidental,1981-1990,6.25,1,16
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Mediterrani central occidental,1991-2000,0.0,0,17
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Mediterrani central occidental,2001-2010,0.0,0,18
Episodi càlid amb baixa humitat del sòl,NAO,Negativa,Tardor,Mediterrani central occidental,2011-2020,20.0,3,15
Episodi càlid i sec,NAO,Negativa,Hivern,Llevant Ibèric,Tots,0.0,0,28
Episodi càlid i sec,NAO,Negativa,Hivern,Llevant Ibèric,1981-1990,0.0,0,8
Episodi càlid i sec,NAO,Negativa,Hivern,Llevant Ibèric,1991-2000,0.0,0,5
Episodi càlid i sec,NAO,Negativa,Hivern,Llevant Ibèric,2001-2010,0.0,0,13
Episodi càlid i sec,NAO,Negativa,Hivern,Llevant Ibèric,2011-2020,0.0,0,2
Episodi càlid i sec,NAO,Negativa,Primavera,Llevant Ibèric,Tots,0.0,0,40
Episodi càlid i sec,NAO,Negativa,Primavera,Llevant Ibèric,1981-1990,0.0,0,12
Episodi càlid i sec,NAO,Negativa,Primavera,Llevant Ibèric,1991-2000,0.0,0,11
Episodi càlid i sec,NAO,Negativa,Primavera,Llevant Ibèric,2001-2010,0.0,0,10
Episodi càlid i sec,NAO,Negativa,Primavera,Llevant Ibèric,2011-2020,0.0,0,7
Episodi càlid i sec,NAO,Negativa,Estiu,Llevant Ibèric,Tots,0.0,0,57
Episodi càlid i sec,NAO,Negativa,Estiu,Llevant Ibèric,1981-1990,0.0,0,12
Episodi càlid i sec,NAO,Negativa,Estiu,Llevant Ibèric,1991-2000,0.0,0,11
Episodi càlid i sec,NAO,Negativa,Estiu,Llevant Ibèric,2001-2010,0.0,0,18
Episodi càlid i sec,NAO,Negativa,Estiu,Llevant Ibèric,2011-2020,0.0,0,16
Episodi càlid i sec,NAO,Negativa,Tardor,Llevant Ibèric,Tots,1.52,1,66
Episodi càlid i sec,NAO,Negativa,Tardor,Llevant Ibèric,1981-1990,0.0,0,16
Episodi càlid i sec,NAO,Negativa,Tardor,Llevant Ibèric,1991-2000,5.88,1,17
Episodi càlid i sec,NAO,Negativa,Tardor,Llevant Ibèric,2001-2010,0.0,0,18
Episodi càlid i sec,NAO,Negativa,Tardor,Llevant Ibèric,2011-2020,0.0,0,15
Episodi càlid i sec,NAO,Negativa,Hivern,Catalunya-Balears,Tots,0.0,0,28
Episodi càlid i sec,NAO,Negativa,Hivern,Catalunya-Balears,1981-1990,0.0,0,8
Episodi càlid i sec,NAO,Negativa,Hivern,Catalunya-Balears,1991-2000,0.0,0,5
Episodi càlid i sec,NAO,Negativa,Hivern,Catalunya-Balears,2001-2010,0.0,0,13
Episodi càlid i sec,NAO,Negativa,Hivern,Catalunya-Balears,2011-2020,0.0,0,2
Episodi càlid i sec,NAO,Negativa,Primavera,Catalunya-Balears,Tots,0.0,0,40
Episodi càlid i sec,NAO,Negativa,Primavera,Catalunya-Balears,1981-1990,0.0,0,12
Episodi càlid i sec,NAO,Negativa,Primavera,Catalunya-Balears,1991-2000,0.0,0,11
Episodi càlid i sec,NAO,Negativa,Primavera,Catalunya-Balears,2001-2010,0.0,0,10
Episodi càlid i sec,NAO,Negativa,Primavera,Catalunya-Balears,2011-2020,0.0,0,7
Episodi càlid i sec,NAO,Negativa,Estiu,Catalunya-Balears,Tots,0.0,0,57
Episodi càlid i sec,NAO,Negativa,Estiu,Catalunya-Balears,1981-1990,0.0,0,12
Episodi càlid i sec,NAO,Negativa,Estiu,Catalunya-Balears,1991-2000,0.0,0,11
Episodi càlid i sec,NAO,Negativa,Estiu,Catalunya-Balears,2001-2010,0.0,0,18
Episodi càlid i sec,NAO,Negativa,Estiu,Catalunya-Balears,2011-2020,0.0,0,16
Episodi càlid i sec,NAO,Negativa,Tardor,Catalunya-Balears,Tots,0.0,0,66
Episodi càlid i sec,NAO,Negativa,Tardor,Catalunya-Balears,1981-1990,0.0,0,16
Episodi càlid i sec,NAO,Negativa,Tardor,Catalunya-Balears,1991-2000,0.0,0,17
Episodi càlid i sec,NAO,Negativa,Tardor,Catalunya-Balears,2001-2010,0.0,0,18
Episodi càlid i sec,NAO,Negativa,Tardor,Catalunya-Balears,2011-2020,0.0,0,15
Episodi càlid i sec,NAO,Negativa,Hivern,Golf del Lleó,Tots,3.57,1,28
Episodi càlid i sec,NAO,Negativa,Hivern,Golf del Lleó,1981-1990,12.5,1,8
Episodi càlid i sec,NAO,Negativa,Hivern,Golf del Lleó,1991-2000,0.0,0,5
Episodi càlid i sec,NAO,Negativa,Hivern,Golf del Lleó,2001-2010,0.0,0,13
Episodi càlid i sec,NAO,Negativa,Hivern,Golf del Lleó,2011-2020,0.0,0,2
Episodi càlid i sec,NAO,Negativa,Primavera,Golf del Lleó,Tots,0.0,0,40
Episodi càlid i sec,NAO,Negativa,Primavera,Golf del Lleó,1981-1990,0.0,0,12
Episodi càlid i sec,NAO,Negativa,Primavera,Golf del Lleó,1991-2000,0.0,0,11
Episodi càlid i sec,NAO,Negativa,Primavera,Golf del Lleó,2001-2010,0.0,0,10
Episodi càlid i sec,NAO,Negativa,Primavera,Golf del Lleó,2011-2020,0.0,0,7
Episodi càlid i sec,NAO,Negativa,Estiu,Golf del Lleó,Tots,1.75,1,57
Episodi càlid i sec,NAO,Negativa,Estiu,Golf del Lleó,1981-1990,0.0,0,12
Episodi càlid i sec,NAO,Negativa,Estiu,Golf del Lleó,1991-2000,0.0,0,11
Episodi càlid i sec,NAO,Negativa,Estiu,Golf del Lleó,2001-2010,5.56,1,18
Episodi càlid i sec,NAO,Negativa,Estiu,Golf del Lleó,2011-2020,0.0,0,16
Episodi càlid i sec,NAO,Negativa,Tardor,Golf del Lleó,Tots,0.0,0,66
Episodi càlid i sec,NAO,Negativa,Tardor,Golf del Lleó,1981-1990,0.0,0,16
Episodi càlid i sec,NAO,Negativa,Tardor,Golf del Lleó,1991-2000,0.0,0,17
Episodi càlid i sec,NAO,Negativa,Tardor,Golf del Lleó,2001-2010,0.0,0,18
Episodi càlid i sec,NAO,Negativa,Tardor,Golf del Lleó,2011-2020,0.0,0,15
Episodi càlid i sec,NAO,Negativa,Hivern,Mediterrani central occidental,Tots,0.0,0,28
Episodi càlid i sec,NAO,Negativa,Hivern,Mediterrani central occidental,1981-1990,0.0,0,8
Episodi càlid i sec,NAO,Negativa,Hivern,Mediterrani central occidental,1991-2000,0.0,0,5
Episodi càlid i sec,NAO,Negativa,Hivern,Mediterrani central occidental,2001-2010,0.0,0,13
Episodi càlid i sec,NAO,Negativa,Hivern,Mediterrani central occidental,2011-2020,0.0,0,2
Episodi càlid i sec,NAO,Negativa,Primavera,Mediterrani central occidental,Tots,0.0,0,40
Episodi càlid i sec,NAO,Negativa,Primavera,Mediterrani central occidental,1981-1990,0.0,0,12
Episodi càlid i sec,NAO,Negativa,Primavera,Mediterrani central occidental,1991-2000,0.0,0,11
Episodi càlid i sec,NAO,Negativa,Primavera,Mediterrani central occidental,2001-2010,0.0,0,10
Episodi càlid i sec,NAO,Negativa,Primavera,Mediterrani central occidental,2011-2020,0.0,0,7
Episodi càlid i sec,NAO,Negativa,Estiu,Mediterrani central occidental,Tots,0.0,0,57
Episodi càlid i sec,NAO,Negativa,Estiu,Mediterrani central occidental,1981-1990,0.0,0,12
Episodi càlid i sec,NAO,Negativa,Estiu,Mediterrani central occidental,1991-2000,0.0,0,11
Episodi càlid i sec,NAO,Negativa,Estiu,Mediterrani central occidental,2001-2010,0.0,0,18
Episodi càlid i sec,NAO,Negativa,Estiu,Mediterrani central occidental,2011-2020,0.0,0,16
Episodi càlid i sec,NAO,Negativa,Tardor,Mediterrani central occidental,Tots,0.0,0,66
Episodi càlid i sec,NAO,Negativa,Tardor,Mediterrani central occidental,1981-1990,0.0,0,16
Episodi càlid i sec,NAO,Negativa,Tardor,Mediterrani central occidental,1991-2000,0.0,0,17
Episodi càlid i sec,NAO,Negativa,Tardor,Mediterrani central occidental,2001-2010,0.0,0,18
